#PROFILE,#PRIVILEGE_NAME,#FROM,#TO,#MAPPED_PRIVILEGE_NAME
tv,http://tizen.org/privilege/alarm,2.3,9.9,http://tizen.org/privilege/alarm.get
tv,http://tizen.org/privilege/alarm,2.3,9.9,http://tizen.org/privilege/alarm.set
tv,http://tizen.org/privilege/application.info,2.3,9.9,http://tizen.org/privilege/packagemanager.info
tv,http://tizen.org/privilege/application.launch,2.3,9.9,http://tizen.org/privilege/appmanager.launch
tv,http://tizen.org/privilege/appmanager.certificate,2.3,9.9,http://tizen.org/privilege/notexist
tv,http://tizen.org/privilege/appmanager.kill,2.3,9.9,http://tizen.org/privilege/appmanager.kill
tv,http://tizen.org/privilege/content.read,2.3,9.9,http://tizen.org/privilege/content.write
tv,http://tizen.org/privilege/content.write,2.3,9.9,http://tizen.org/privilege/content.write
tv,http://tizen.org/privilege/datacontrol.consumer,2.4,9.9,http://tizen.org/privilege/appmanager.launch
tv,http://tizen.org/privilege/datacontrol.consumer,2.4,9.9,http://tizen.org/privilege/datasharing
tv,http://tizen.org/privilege/download,2.3,9.9,http://tizen.org/privilege/download
tv,http://tizen.org/privilege/filesystem.read,2.3,9.9,http://tizen.org/privilege/systemsettings.admin
tv,http://tizen.org/privilege/filesystem.write,2.3,9.9,http://tizen.org/privilege/systemsettings.admin
tv,http://tizen.org/privilege/fullscreen,2.3,9.9,http://tizen.org/privilege/notexist
tv,http://tizen.org/privilege/internet,2.3,9.9,http://tizen.org/privilege/internet
tv,http://tizen.org/privilege/keymanager,2.4,9.9,http://tizen.org/privilege/keymanager
tv,http://tizen.org/privilege/mediacapture,2.3,9.9,http://tizen.org/privilege/camera
tv,http://tizen.org/privilege/mediacapture,2.3,9.9,http://tizen.org/privilege/internal/buxton/camcorder
tv,http://tizen.org/privilege/mediacapture,2.3,9.9,http://tizen.org/privilege/recorder
tv,http://tizen.org/privilege/package.info,2.3,9.9,http://tizen.org/privilege/packagemanager.info
tv,http://tizen.org/privilege/packagemanager.install,2.3,9.9,http://tizen.org/privilege/packagemanager.admin
tv,http://tizen.org/privilege/system,2.3,9.9,http://tizen.org/privilege/telephony
tv,http://tizen.org/privilege/systemmanager,2.3,2.4,http://tizen.org/privilege/telephony
tv,http://tizen.org/privilege/telephony,2.4,9.9,http://tizen.org/privilege/telephony
tv,http://tizen.org/privilege/tv.audio,2.3,9.9,http://tizen.org/privilege/notexist
tv,http://tizen.org/privilege/tv.channel,2.3,9.9,http://tizen.org/privilege/notexist
tv,http://tizen.org/privilege/tv.display,2.3,9.9,http://tizen.org/privilege/notexist
tv,http://tizen.org/privilege/tv.inputdevice,2.3,9.9,http://tizen.org/privilege/notexist
tv,http://tizen.org/privilege/tv.window,2.3,9.9,http://tizen.org/privilege/notexist
tv,http://tizen.org/privilege/unlimitedstorage,2.3,9.9,http://tizen.org/privilege/notexist
tv,http://tizen.org/privilege/websetting,2.3,2.4,http://tizen.org/privilege/notexist
tv,http://tizen.org/privilege/internal/default/public,2.3,2.4,http://tizen.org/privilege/internal/buxton/location
tv,http://tizen.org/privilege/internal/default/public,2.3,9.9,http://tizen.org/privilege/internal/default/public
tv,http://tizen.org/privilege/internal/default/public,2.3,2.4,http://tizen.org/privilege/call
tv,http://tizen.org/privilege/internal/default/public,2.3,2.4,http://tizen.org/privilege/internet
tv,http://tizen.org/privilege/internal/default/public,2.3,2.4,http://tizen.org/privilege/recorder
tv,http://tizen.org/privilege/internal/default/public,2.3,2.4,http://tizen.org/privilege/camera
tv,http://tizen.org/privilege/internal/default/public,2.3,9.9,http://tizen.org/privilege/appmanager.launch
tv,http://tizen.org/privilege/internal/default/public,2.3,9.9,http://tizen.org/privilege/haptic
tv,http://tizen.org/privilege/internal/default/public,2.3,9.9,http://tizen.org/privilege/internal/buxton/network.get
tv,http://tizen.org/privilege/internal/default/public,2.3,9.9,http://tizen.org/privilege/internal/buxton/telephony
tv,http://tizen.org/privilege/internal/default/public,2.3,9.9,http://tizen.org/privilege/network.get
tv,http://tizen.org/privilege/internal/default/public,2.3,9.9,http://tizen.org/privilege/notification
tv,http://tizen.org/privilege/internal/default/public,2.3,9.9,http://tizen.org/privilege/packagemanager.info
tv,http://tizen.org/privilege/internal/default/partner,2.3,2.4,http://tizen.org/privilege/internal/buxton/location
tv,http://tizen.org/privilege/internal/default/partner,2.3,9.9,http://tizen.org/privilege/internal/default/public
tv,http://tizen.org/privilege/internal/default/partner,2.3,9.9,http://tizen.org/privilege/internal/default/partner
tv,http://tizen.org/privilege/internal/default/partner,2.3,2.4,http://tizen.org/privilege/call
tv,http://tizen.org/privilege/internal/default/partner,2.3,2.4,http://tizen.org/privilege/internet
tv,http://tizen.org/privilege/internal/default/partner,2.3,2.4,http://tizen.org/privilege/recorder
tv,http://tizen.org/privilege/internal/default/partner,2.3,2.4,http://tizen.org/privilege/camera
tv,http://tizen.org/privilege/internal/default/partner,2.3,9.9,http://tizen.org/privilege/appmanager.launch
tv,http://tizen.org/privilege/internal/default/partner,2.3,9.9,http://tizen.org/privilege/haptic
tv,http://tizen.org/privilege/internal/default/partner,2.3,9.9,http://tizen.org/privilege/internal/buxton/network.get
tv,http://tizen.org/privilege/internal/default/partner,2.3,9.9,http://tizen.org/privilege/internal/buxton/telephony
tv,http://tizen.org/privilege/internal/default/partner,2.3,9.9,http://tizen.org/privilege/network.get
tv,http://tizen.org/privilege/internal/default/partner,2.3,9.9,http://tizen.org/privilege/notification
tv,http://tizen.org/privilege/internal/default/partner,2.3,9.9,http://tizen.org/privilege/packagemanager.info
tv,http://tizen.org/privilege/internal/default/platform,2.3,2.4,http://tizen.org/privilege/internal/buxton/location
tv,http://tizen.org/privilege/internal/default/platform,2.3,9.9,http://tizen.org/privilege/internal/default/public
tv,http://tizen.org/privilege/internal/default/platform,2.3,9.9,http://tizen.org/privilege/internal/default/partner
tv,http://tizen.org/privilege/internal/default/platform,2.3,9.9,http://tizen.org/privilege/internal/default/platform
tv,http://tizen.org/privilege/internal/default/platform,2.3,2.4,http://tizen.org/privilege/call
tv,http://tizen.org/privilege/internal/default/platform,2.3,2.4,http://tizen.org/privilege/internet
tv,http://tizen.org/privilege/internal/default/platform,2.3,2.4,http://tizen.org/privilege/recorder
tv,http://tizen.org/privilege/internal/default/platform,2.3,2.4,http://tizen.org/privilege/camera
tv,http://tizen.org/privilege/internal/default/platform,2.3,9.9,http://tizen.org/privilege/appmanager.launch
tv,http://tizen.org/privilege/internal/default/platform,2.3,9.9,http://tizen.org/privilege/haptic
tv,http://tizen.org/privilege/internal/default/platform,2.3,9.9,http://tizen.org/privilege/internal/buxton/network.get
